State,Register Vehicle,Population,State_Postal_Code
Alabama,5288208.452,5024279,AL
Alaska,795274.6908,733391,AK
Arizona,5982559.286,7151502,AZ
Arkansas,2902110.817,3011524,AR
California,31247270.05,39538223,CA
Colorado,5412403.746,5773714,CO
Connecticut,2878547.943,3605944,CT
Delaware ,1016927.475,989948,DE
Dist. of Col. ,350463.2003,689545,DC
Florida ,17833719.6,21538187,FL
Georgia ,8594566.607,10711908,GA
Hawaii,1272360.871,1455271,HI
Idaho,1954527.866,1839106,ID
Illinois,10691946.84,12812508,IL
Indiana ,6223459.576,6785528,IN
Iowa ,3786327.973,3190369,IA
Kansas,2682337.267,2937880,KS
Kentucky,4383222.93,4505836,KY
Louisiana,3802745.712,4657757,LA
Maine,1130055.585,1362359,ME
Maryland,4203993.693,6177224,MD
Massachusetts,5061259.745,7029917,MA
Michigan,8440064.861,10077331,MI
Minnesota,5425884.596,5706494,MN
Mississippi ,2066680.604,2961679,MS
Missouri,5534288.656,6154913,MO
Montana ,1900805.765,1084225,MT
Nebraska,1968478.877,1961504,NE
Nevada,2546583.257,3104614,NV
New Hampshire,1363379.257,1377529,NH
New Jersey,6033014.586,9288994,NJ
New Mexico,1825421.381,2117522,NM
New York ,11389158.45,20201249,NY
North Carolina,8527387.905,10439338,NC
North Dakota,903667.712,779094,ND
Ohio,10901278.74,11799448,OH
Oklahoma,3706623.797,3959353,OK
Oregon ,3919156.992,4237256,OR
Pennsylvania,10800315.35,13002700,PA
Rhode Island ,868941.7594,1097379,RI
South Carolina,4516142.58,5118425,SC
South Dakota,1280968.587,886667,SD
Tennessee,5817886.911,6910840,TN
Texas,23007145.81,29145505,TX
Utah,2430275.234,3271616,UT
Vermont,620428.2162,643077,VT
Virginia,7647692.483,8631393,VA
Washington,7377027.784,7705281,WA
West Virginia,1668113.223,1793716,WV
Wisconsin,5666399.811,5893718,WI
Wyoming ,843670.8928,576851,WY
